露影藏形	lù yǐng cáng xíng
轻手软脚	qīng shǒu ruǎn jiǎo
汪洋大海	wāng yáng dà hǎi
草间求活	cǎo jiān qiú huó
趋之若骛	qū zhī ruò wù
来踪去迹	lái zōng qù jì
庞眉白发	páng méi bái fà
乐极哀来	lè jí āi lái
惟利是视	wéi lì shì shì
芒寒色正	máng hán sè zhèng
所剩无几	suǒ shèng wú jǐ
深文周纳	shēn wén zhōu nà
雪天萤席	xuě tiān yíng xí
饮马投钱	yìn mǎ tóu qián
生发未燥	shēng fà wèi zào
含仁怀义	hán rén huái yì
卖国求荣	mài guó qiú róng
疾病相扶	jí bìng xiāng fú
鸣雁直木	míng yàn zhí mù
支手舞脚	zhī shǒu wǔ jiǎo
道旁苦李	dào páng kǔ lǐ
孤掌难鸣	gū zhǎng nán míng
难鸣孤掌	nán míng gū zhǎng
龟厌不告	guī yàn bù gào
凤楼龙阙	fèng lóu lóng què
龙楼凤阙	lóng lóu fèng què
与世隔绝	yǔ shì gé jué
举贤任能	jǔ xián rèn néng
外简内明	wài jiǎn nèi míng
对酒当歌	duì jiǔ dāng gē
食饥息劳	shí jī xī láo
鱼肠尺素	yú cháng chǐ sù
合盘托出	hé pán tuō chū
养生送终	yǎng shēng sòng zhōng
匹马一麾	pǐ mǎ yī huī
厚德载物	hòu dé zài wù
蜗行牛步	wō xíng niú bù
大煞风趣	dà shà fēng qù
贪欲无艺	tān yù wú yì
转瞬之间	zhuǎn shùn zhī jiān
褐衣不完	hè yī bù wán
狗血淋头	gǒu xuè lín tóu
良莠不齐	liáng yǒu bù qí
白头偕老	bái tóu xié lǎo
香消玉碎	xiāng xiāo yù suì
玉碎香消	yù suì xiāng xiāo
恨相见晚	hèn xiāng jiàn wǎn
相见恨晚	xiāng jiàn hèn wǎn
九州四海	jiǔ zhōu sì hǎi
四海九州	sì hǎi jiǔ zhōu
富贵利达	fù guì lì dá
六街三市	liù jiē sān shì
三街六市	sān jiē liù shì
愁肠九回	chóu cháng jiǔ huí
真情实感	zhēn qíng shí gǎn
博闻强识	bó wén qiáng zhì
强识博闻	qiǎng shí bó wén
大政方针	dà zhèng fāng zhēn
轻财好施	qīng cái hǎo shī
栋梁之材	dòng liáng zhī cái
意惹情牵	yì rě qíng qiān
目窕心与	mù tiǎo xīn yǔ
衔尾相随	xián wěi xiāng suí
残章断简	cán zhāng duàn jiǎn
追魂夺命	zhuī hún duó mìng
逐末忘本	zhú mò wàng běn
附声吠影	fù shēng fèi yǐng
磐石之固	pán shí zhī gù
白发青衫	bái fà qīng shān
衣锦荣归	yì jǐn róng guī
染旧作新	rǎn jiù zuò xīn
威信扫地	wēi xìn sǎo dì
大呼小喝	dà hū xiǎo hē
碌碌无闻	lù lù wú wén
昏头转向	hūn tóu zhuǎn xiàng
渺无影踪	miǎo wú yǐng zōng
渺无踪影	miǎo wú zōng yǐng
敲山震虎	qiāo shān zhèn hǔ
进退失据	jìn tuì shī jù
流离颠顿	liú lí diān dùn
别有肺肠	bié yǒu fèi cháng
归奇顾怪	guī qí gù guài
旷古未闻	kuàng gǔ wèi wéi
通权达理	tōng quán dá lǐ
稔恶不悛	rěn è bù quān
鹄形鸟面	hú xíng niǎo miàn
鸟面鹄形	niǎo miàn hú xíng
同床共枕	tóng chuáng gòng zhěn
矫言伪行	jiǎo yán wěi xíng
一路神祇	yī lù shén qí
神武挂冠	shén wǔ guà guàn
当刑而王	dāng xíng ér wáng
飞鸾翔凤	fēi luán xiáng fèng
著书立说	zhù shū lì shuō
为鬼为蜮	wéi guǐ wéi yù
便宜行事	biàn yì xíng shì
移风崇教	yí fēng chóng jiào
厚往薄来	hòu wǎng báo lái
引新吐故	yǐn xīn tǔ gù
专欲难成	zhuān yù nán chéng
偃武兴文	yǎn wǔ xīng wén
生荣死衰	shēng róng sǐ shuāi
既成事实	jì chéng shì shí
奉天承运	fèng tiān chéng yùn
博物君子	bó wù jūn zǐ
我行我素	wǒ xíng wǒ sù
焦眉愁眼	jiāo méi chóu yǎn
胆丧魂消	dǎn sàng hún xiāo
魂消胆丧	hún xiāo dǎn sàng
燕岱之石	yān dài zhī shí
水磨工夫	shuǐ mó gōng fū
视如珍宝	shì rú zhēn bǎo
辩才无碍	biàn cái wú ài
张口掉舌	zhāng kǒu diào shé
日增月益	rì zēng yuè yì
琴瑟不调	qín sè bù tiáo
浮名虚誉	fú míng xū yù
发踪指使	fā zōng zhǐ shǐ
嫉恶如仇	jí è rú chóu
病入骨髓	bìng rù gǔ suǐ
虎略龙韬	hǔ lüè lóng tāo
泼水难收	pō shuǐ nán shōu
雁过拔毛	yàn guò bá máo
半截入土	bàn jié rù tǔ
纲举目张	gāng jǔ mù zhāng
仗节死义	zhàng jié sǐ yì
简傲绝俗	jiǎn ào jué sú
飞云掣电	fēi yún chè diàn
井井有绪	jǐng jǐng yǒu xù
吐肝露胆	tǔ gān lù dǎn
恶衣菲食	è yī fēi shí
千推万阻	qiān tuī wàn zǔ
千真万确	qiān zhēn wàn què
长街短巷	cháng jiē duǎn xiàng
虎荡羊群	hǔ dàng yáng qún
随风转舵	suí fēng zhuǎn duò
断根绝种	duàn gēn jué zhǒng
甜言美语	tián yán měi yǔ
尸居余气	shī jū yú qì
情意绵绵	qíng yì mián mián
晚节不保	wǎn jíe bù bǎo
流光易逝	liú guāng yì shì
去故纳新	qù gù nà xīn
情投谊合	qíng tóu yì hé
星罗云布	xīng luó yún bù
杀人如蓺	shā rén rú tiě
进壤广地	jìn rǎng guǎng dì
智尽能索	zhì jìn néng suǒ
宁折不弯	nìng zhé bù wān
如胶如漆	rú jiāo rú qī
亲当矢石	qīn dāng shǐ shí
坐地分脏	zuò dì fēn zāng
碧空如洗	bì kōng rú xǐ
潜精积思	qián jīng jī sī
败俗伤化	bài sú shāng huà
伤化败俗	shāng huà bài sú
低眉垂眼	dī méi chuí yǎn
长绳系日	cháng shéng jì rì
食亲财黑	shí qīn cái hēi
吸风饮露	xī fēnɡ yǐn lù
休明盛世	xiū míng shèng shì
开卷有益	kāi juàn yǒu yì
调嘴弄舌	tiáo zuǐ nòng shé
佛眼相看	fó yǎn xiāng kàn
得寸则寸	dé cùn zé cùn
离情别绪	lí qíng bié xù
蜂附云集	fēng fù yún jí
饮犊上流	yìn dú shàng liú
青霄直上	qīng xiāo zhí shàng
离群索居	lí qún suǒ jū
宽仁大度	kuān rén dà dù
攀花问柳	pān huā wèn liǔ
见兔顾犬	jiàn tù gù quǎn
做鬼做神	zuò guǐ zuò shén
做神做鬼	zuò shén zuò guǐ
情凄意切	qíng qī yì qiē
殊涂同归	shū tú tóng guī
殊致同归	shū zhì tóng guī
同归殊涂	tóng guī shū tú
性命交关	xìng mìng jiāo guān
似笑非笑	sì xiào fēi xiào
切齿拊心	qiè chǐ fǔ xīn
骂天咒地	mà tiān zhòu dì
咒天骂地	zhòu tiān mà dì
软语温言	ruǎn yǔ wēn yán
惟利是命	wéi lì shì mìng
自由放任	zì yóu fàng rèn
老实巴交	lǎo shí bā jiāo
唯力是视	wéi lì shì shì
兴亡继绝	xīng wáng jì jué
追风蹑景	zhuī fēng niè jǐng
返来复去	fǎn lái fù qù
遁迹方外	dùn jì fāng wài
顺风张帆	shùn fēng zhāng fān
聚敛无厌	jù liǎn wú yàn
援笔立成	yuán bǐ lì chéng
随方逐圆	suí fāng zhú yuán
见猎心喜	jiàn liè xīn xǐ
假虎张威	jiǎ hǔ zhāng wēi
家徒壁立	jiā tú bì lì
永永无穷	yǒng shì wú qióng
灭顶之灾	miè dǐng zhī zāi
发财致富	fā cái zhì fù
物归原主	wù guī yuán zhǔ
刻薄寡思	kè bó guǎ sī
里丑捧心	lǐ chǒu pěng xīn
鸣金收军	míng jīn shōu jūn
虚位以待	xū wèi yǐ dài
骄傲自满	jiāo ào zì mǎn
弃车走林	qì chē zǒu lín
家贼难防	jiā zéi nán fáng
识微知著	shí wēi zhī zhuó
以白诋青	yǐ bái dǐ qīng
不失圭撮	bù shī guī cuō
家至户到	jiā zhì hù dào
平流缓进	píng liú huǎn jìn
临事而惧	lín shì ér jù
枝附叶从	zhī fù yè cóng
山崩钟应	shān bēng zhōng yìng
庸人自扰	yōng rén zì rǎo
众口交赞	zhòng kǒu jiāo zàn
丰屋生灾	fēng wū shēng zāi
计功受赏	jì gōng shòu shǎng
坐薪悬胆	zuò xīn xuán dǎn
层见错出	céng chū cuò jiàn
泰山其颓	tài shān qí tuí
四停八当	sì tíng bā dāng
敏而好学	mǐn ér hào xué
走马到任	zǒu mǎ dào rèn
看人眉睫	kàn rén méi jié
以半击倍	yǐ bàn jī bèi
攘臂一呼	rǎng bì yī hū
冰壶秋月	bīng hú qiū yuè
首尾相援	shǒu wěi xiāng yuán
扶摇直上	fú yáo zhí shàng
百品千条	bǎi pǐn qiān tiáo
以屈求伸	yǐ qū qiú shēn
来踪去路	lái zōng qù lù
杯中蛇影	bēi zhōng shé yǐng
打退堂鼓	dǎ tuì táng gǔ
求贤若渴	qiú xián ruò kě
履信思顺	lǚ xìn sī shùn
历历落落	lì lì luò luò
从中渔利	cóng zhōng yú lì
惊惶失色	jīng huáng shī sè
聊表寸心	liáo biǎo cùn xīn
莺飞燕舞	yīng fēi yàn wǔ
西方净国	xī fāng jìng guó
运筹出奇	yùn chóu chū qí
首尾两端	shǒu wěi liǎng duān
令原之戚	líng yuán zhī qī
追本穷源	zhuī běn qióng yuán
归正首丘	guī zhèng shǒu qiū
较短比长	jiào duǎn bǐ cháng
拭目以待	shì mù yǐ dài
兵在其颈	bīng zài qí jǐng
千条万缕	qiān tiáo wàn lǚ
惊喜若狂	jīng xǐ ruò kuáng
一夔一契	yī kuí yī qì
一觞一咏	yī shāng yī yǒng
权变锋出	quán biàn fēng chū
重光累洽	chóng guāng lèi qià
龙盘凤翥	lóng pán fèng zhù
微机四伏	wēi jī sì fú
娱心悦目	yú xīn yuè mù
悦目娱心	yuè mù yú xīn
天假良缘	tiān jiǎ liáng yuán
作小服低	zuò xiǎo fú dī
火中取栗	huǒ zhōng qǔ lì
恣意妄行	zì yì wàng xíng
巧言偏辞	qiǎo yán piān cí
鼻息如雷	bí xī rú léi
哗世取名	huá shì qǔ míng
心痒难抓	xīn yǎng nán zhuā
雄鸡断尾	xióng jī duàn wěi
命辞遣意	mìng cí qiǎn yì
视死犹归	shì sǐ yóu guī
百拙千丑	bǎi zhuō qiān chǒu
位极人臣	wèi jí rén chén
急起直追	jí qǐ zhí zhuī
鱼鱼雅雅	yú yú yǎ yǎ
攒三集五	cuán sān jí wǔ
时来运旋	shí lái yùn xuán
空空如也	kōng kōng rú yě
戴罪立功	dài zuì lì gōng
舍旧谋新	shě jiù móu xīn
跛行千里	bǒ xíng qiān lǐ
积毁销金	jī huǐ xiāo jīn
别置一喙	bié zhì yī huì
红颜薄命	hóng yán bó mìng
先难后获	xiān nán hòu huò
秉文经武	bǐng wén jīng wǔ
安危与共	ān wēi yǔ gòng
梨花带雨	lí hu ài yǔ
群威群胆	qún wēi qún dǎn
闭门塞户	bì kǒu sè hù
半信半疑	bàn xìn bàn yí
半疑半信	bàn yí bàn xìn
机关用尽	jī guān yòng jìn
萧然物外	xiāo rán wù wài
呕心镂骨	ǒu xīn lòu gǔ
虎踞龙盘	hǔ jù lóng pán
踞虎盘龙	jù hǔ pán lóng
龙盘虎踞	lóng pán hǔ jù
霸王风月	bà wáng fēng yuè
辱门败户	rǔ mén bài hù
寻行数墨	xún háng shǔ mò
对景伤情	duì jǐng shāng qíng
太平无象	tài píng wú xiàng
兵强将勇	bīng qiáng àng yǒng
精采秀发	jīng cǎi xiù fā
露面抛头	lù miàn pāo tóu
抛头露面	pāo tóu lù miàn
相忘形骸	xiāng wàng xíng hái
铁树开华	tiě shù kāi huā
恩威并重	ēn wēi bìng zhòng
才疏德薄	cái shū dé bó
德薄才疏	dé bó cái shū
适当其冲	shì dāng qí chōng
移日卜夜	yí rì bǔ yè
涩于言论	sè yú yán lùn
地坼天崩	dì chè tiān bēng
天崩地坼	tiān bēng dì chè
狗血喷头	gǒu xuè pēn tóu
肉眼愚眉	ròu yǎn yú méi
愚眉肉眼	yú méi ròu yǎn
不爽累黍	bù shuǎng lèi shǔ
调唇弄舌	tiáo chún nòng shé
调舌弄唇	tiáo shé nòng chún
怀璧其罪	huái bì qí zuì
呼风唤雨	hū fēng huàn yǔ
胸有悬镜	xiōng yǒu xuán jìng
适情率意	shì qíng shuài yì
割恩断义	gē ēn duàn yì
豪迈不群	háo mài bù qún
野调无腔	yě diào wú qiāng
尺二秀才	chǐ èr xiù cái
众犬吠声	zhòng quǎn fèi shēng
隙穴之窥	xì xué zhī kuī
奥妙无穷	ào miào wú qióng
告贷无门	gào dài wú mén
恨相知晚	hèn xiāng zhī wǎn
相知恨晚	xiāng zhī hèn wǎn
遗德余烈	yí dé yú liè
方寸已乱	fāng cùn yǐ luàn
海啸山崩	hǎi xiào shān bēng
山崩海啸	shān bēng hǎi xiào
换斗移星	huàn dǒu yí xīng
移星换斗	yí xīng huàn dǒu
负重涉远	fù zhòng shè yuǎn
凤愁鸾怨	fèng chóu luán yuàn
戴发含牙	dài fā hán yá
匠石运金	jiàng shí yùn jīn
离乡背土	lí xiāng bèi tǔ
冰解壤分	bīng jiě rǎng fēn
传道受业	chuán dào shòu yè
口诵心维	kǒu sòng xīn wéi
废文任武	fèi wén rèn wǔ
众目共睹	zhòng mù gòng dǔ
愁肠九转	chóu cháng jiǔ zhuǎn
以玉抵鹊	yǐ yù dǐ què
贫贱骄人	pín jiàn jiāo rén
三朋四友	sān péng sì yǒu
明珠弹雀	míng zhū tán què
绿叶成阴	lǜ yè chéng yīn
畅所欲为	chàng suǒ yù wéi
具体而微	jù tǐ ér wēi
病民害国	bìng mín hài guó
进退存亡	jìn tuì cún wáng
告老还家	gào lǎo huán jiā
薰天赫地	xūn tiān hè dì
飞熊入梦	fēi xióng rù mèng
独出新裁	dú chū xīn cái
攀高结贵	pān gāo jié guì
光车骏马	guāng chē jùn mǎ
步雪履穿	bù xuě lǚ chuān
乐往哀来	lè wǎng āi lái
积习难改	jī xí nán gǎi
攒三聚五	cuán sān jù wǔ
朝欢暮乐	zhāo huān mù lè
朝思暮想	zhāo sī mù xiǎng
暮想朝思	mù xiǎng cháo sī
挥戈返日	huī gē fǎn rì
泄露天机	xiè lòu tiān jī
秋高气肃	qiū gāo qì sù
东兔西乌	dōng tù xī wū
冠上加冠	guān shàng jiā guān
草率将事	cǎo lǜ jiāng shì
谈何容易	tán hé róng yì
日削月割	rì xuē yuè gē
将伯之助	qiāng bó zhī zhù
变化多端	biàn huà duō duān
三江七泽	sān jiāng qī zé
尺寸之柄	chǐ cùn zhī bǐng
三户亡秦	sān hù wáng qín
亡秦三户	wáng qín sān hù
损上益下	sǔn shàng yì xià
公听并观	gōng tīng bìng guān
鸡飞狗叫	jī fēi gǒu jiào
烂漫天真	làn màn tiān zhēn
天真烂漫	tiān zhēn làn màn
即物穷理	jí wù qióng lǐ
枭心鹤貌	xiāo xīn hè mào
疾如旋踵	jí rú xuán zhǒng
上方宝剑	shàng fāng bǎo jiàn
惩一警百	chéng yī jǐng bǎi
患得患失	huàn dé huàn shī
男女老小	nán nǚ lǎo xiǎo
真知卓见	zhēn zhī zhuó jiàn
改往修来	gǎi wǎng xiū lái
顽石点头	wán shí diǎn tóu
避难趋易	bì nán qiù yì
混水摸鱼	hùn shuǐ mō yú
笃学不倦	dǔ xué bù juàn
十全十美	shí quán shí měi
暗度金针	àn dù jīn zhēn
十室容贤	shí shì róng xián
见微知萌	jiàn wēi zhī méng
敢作敢为	gǎn zuò gǎn wéi
以邻为壑	yǐ lín wéi hè
将机就机	jiāng jī jiù jī
趋时附势	qū shí fù shì
拱手而降	gǒng shòu ér xiáng
夜以继昼	yè yǐ jì zhòu
以夜继昼	yǐ yè jì zhòu
计过自讼	jì guò zì sòng
尺二冤家	chǐ èr yuān jia
观者云集	guān zhě yún jí
视险如夷	shì xiǎn rú yí
毛骨耸然	máo gǔ sǒng rán
能者多劳	néng zhě duō láo
胆粗气壮	dǎn cū qì zhuàng
胆壮气粗	dǎn zhuàng qì cū
气壮胆粗	qì zhuàng dǎn cū
反听内视	fǎn tīng nèi shì
反听收视	fǎn tīng shōu shì
内视反听	nèi shì fǎn tīng
收视反听	shōu shì fǎn tīng
江东父老	jiāng dōng fù lǎo
龟文鸟迹	guī wén niǎo jì
当家立纪	dāng jiā lì jì
冷若冰霜	lěng ruò bīng shuāng
视如粪土	shì rú fèn tǔ
尊师贵道	zūn shī guì dào
复旧如初	fù jiù rú chū
舌端月旦	shé duān yuè dàn
瓮中之鳖	wèng zhōng zhī biē
深知灼见	shēn zhī zhuó jiàn
蜂拥而至	fēng yōng ér zhì
黄冠草服	huáng guàn cǎo fú
民贵君轻	mín guì jūn qīng
餐风啮雪	cān fēng niè xuě
却金暮夜	què jīn mù yè
矜功自伐	jīn gōng zì fá
自矜功伐	zì jīn gōng fá
轻举妄动	qīng jǔ wàng dòng
悬河注火	xuán hé zhù huǒ
横眉瞪眼	héng méi dèng yǎn
敛声屏气	liǎn shēng bǐng qì
白衣公卿	bái yī gōng qīng
别鹤孤鸾	bié hè gū luán
断羽绝鳞	duàn yǔ jué lín
锦绣江山	jǐn xiù jiāng shān
奇文共赏	qí wén gòng shǎng
冲冠发怒	chōng guàn fā nù
冲冠怒发	chōng guàn nù fà
发怒冲冠	fā nù chōng guàn
怒发冲冠	nù fà chōng guān
从容应对	cóng róng yìng duì
公私兼顾	gōng sī jiān gù
死有余辜	sǐ yǒu yú gū
一息尚存	yī xī shàng cún
裁月镂云	cái yuè lòu yún
镂月裁云	lòu yuè cái yún
春华秋实	chūn huá qiū shí
秋实春华	qiū shí chūn huā
刊心刻骨	kān xīn kè gǔ
国仇家恨	guó chóu jiā hèn
兴高采烈	xìng gāo cǎi liè
寻欢作乐	xún huān zuò lè
破镜重圆	pò jìng chóng yuán
避君三舍	bì jūn sān shè
精益求精	jīng yì qiú jīng
日渐月染	rì jiàn yuè rǎn
与时消息	yǔ shí xiāo xi
粗服乱头	cū fú luàn tóu
乱头粗服	luàn tóu cū fú
齐心涤虑	qí xīn dí lǜ
不甘示弱	bù gān shì ruò
依草附木	yī cǎo fù mù
面面皆到	miàn miàn jiē dào
油嘴花唇	yóu zuǐ huā chún
泾渭不分	jīng wèi bù fēn
使嘴使舌	shǐ zuǐ shǐ shé
狗吠之警	gǒu fèi zhī jǐng
吞刀吐火	tūn dāo tǔ huǒ
岩穴之士	yán xué zhī shì
水底捞月	shuǐ dǐ lāo yuè
君子三戒	jūn zǐ sān jiè
霄壤之别	xiāo rǎng zhī bié
鸦巢生凤	yā cháo shēng fèng
遗闻轶事	yí wén yì shì
轶事遗闻	yì shì yí wén
轶闻遗事	yì wén yí shì
恶湿居下	wù shī jū xià
鼓唇摇舌	gǔ chún yáo shé
鼓舌摇唇	gǔ shé yáo chún
摇唇鼓舌	yáo chún gǔ shé
龙章麟角	lóng zhāng lín jiǎo
参天贰地	cān tiān èr dì
危机四伏	wēi jī sì fú
以疑决疑	yǐ yí jué yí
桑榆之景	sāng yú zhī jǐng
义胆忠肝	yì dǎn zhōng gān
忠肝义胆	zhōng gān yì dǎn
贫嘴薄舌	pín zuǐ bó shé
巧同造化	qiǎo tóng zào huà
花辰月夕	huā chén yuè xī
望尘莫及	wàng chén mò jí
虱多不痒	shī duō bù yǎng
固步自封	gù bù zì fēng
高顾遐视	gāo gù xiá shì
杳无影响	yǎo wú yǐng xiǎng
直眉瞪眼	zhí méi dèng yǎn
点睛之笔	diǎn jīng zhī bǐ
判若天渊	pàn ruò tiān yuān
东抹西涂	dōng mò xī tú
东涂西抹	dōng tú xī mǒ
吞云吐雾	tūn yún tǔ wù
轻手蹑脚	qīng shǒu niè jiǎo
一枕南柯	yī zhěn nán kē
合从连衡	hé zòng lián héng
唯利是求	wéi lì shì qiú
救火扬沸	jiù huǒ yáng fèi
恶言詈辞	è yán lì cí
一薰一莸	yī xūn yī yóu
入邦问俗	rù bāng wèn sú
雍容大度	yōng róng dà dù
呼吸之间	hū xī zhī jiān
五尺竖子	wǔ chǐ shù zǐ
结绳而治	jié shéng ér zhì
累及无辜	lěi jí wú gū
遁世遗荣	dùn shì yí róng
三纲五常	sān gāng wǔ cháng
门殚户尽	mén dān hù jìn
底死谩生	dǐ sǐ màn shēng
群策群力	qún cè qún lì
含章天挺	hán zhāng tiān tǐng
取乱存亡	qǔ luàn cún wáng
如虎傅翼	rú hǔ fù yì
粗通文墨	cū tōng wén mò
如泣草芥	rú qì cǎo jiè
得过且过	dé guò qiě guò
追根穷源	zhuī gēn qióng yuán
乌焉成马	wū yān chéng mǎ
水佩风裳	shuǐ pèi fēng shang
回眸一笑	huí móu yī xiào
鸣琴而治	míng qín ér zhì
同文共轨	tóng wén gòng guǐ
昏聩无能	hūn kuì wú néng
片言只字	piàn yán zhǐ zì
豁达大度	huò dá dà dù
信手拈来	xìn shǒu niān lái
原始见终	yuán shǐ jiàn zhōng
杏花春雨	xìng huā chūn yǔ
应时对景	yìng shí duì jǐng
豺狼横道	chái láng héng dào
胜残去杀	shèng cán qù shā
衣绣夜游	yī xiù yè yóu
屏声静气	píng shēng jìng qì
青州从事	qīng zhōu cóng shì
引狼自卫	yǐn láng zì wèi
魂颠梦倒	hún diān mèng dǎo
梦魂颠倒	mèng hún diān dǎo
布鼓雷门	bù gǔ léi mén
高步通衢	gāo bù tōng qú
徇国忘身	xùn guó wàng shēn
悖言乱辞	bèi yán luàn cí
俭腹高谈	jiǎn fù gāo tán
好善嫉恶	hǎo shàn jí è
知法犯法	zhī fǎ fàn fǎ
放眼世界	fàng yǎn shì jiè
蹐地局天	jí dì jú tiān
局地钥天	jú dì yào tiān
局天蹐地	jú tiān jí dì
爱才若渴	ài cái ruò kě
犬牙盘石	quǎn yá pán shí
力有未逮	lì yǒu wèi dǎi
助我张目	zhù wǒ zhāng mù
谬想天开	miù xiǎng tiān kāi
六道轮回	liù dào lún huí
良时美景	liáng shí měi jǐng
赤身露体	chì shēn lù tǐ
溢言虚美	yì yán xū měi
顿学累功	dùn xué lěi gōng
仗义执言	zhàng yì zhí yán
剥肤之痛	bō fū zhī tòng
凌霄之志	líng xiāo zhī zhì
一塌刮子	yī tā guā zi
五积六受	wǔ jī liù shòu
避军三舍	bì jūn sān shè
金闺玉堂	jīn guī yù táng
七断八续	qī duàn bā sù
无庸置疑	wú yōng zhì yí
肥遁鸣高	féi dùn míng gāo
将飞翼伏	jiāng fēi yì fú
不按君臣	bù àn jūn chén
小心谨慎	xiǎo xīn jǐn shèn
见貌辨色	jiàn mào biàn sè
化若偃草	huà ruò yǎn cǎo
非同儿戏	fēi tóng ér xì
使心作倖	shǐ xīn zuò xìng
拨乱反正	bō luàn fǎn zhèng
反正拨乱	fǎn zhèng bō luàn
六尺之讬	liù chǐ zhī quàn
别创一格	bié chuàng yí gé
野没遗贤	yě méi yí xián
自吹自擂	zì chuī zì léi
乐事劝功	lè shì quàn gōng
家至户察	jiā zhì hù chá
瑕不掩瑜	xiá bù yǎn yú
瑜不掩瑕	yú bù yǎn xiá
恶衣粝食	è yī lì shí
尖言冷语	jiān yán lěng yǔ
倒载干戈	dào zài gān gē
前功皆弃	qián gōng jiē qì
切树倒根	qiē shù dǎo gēn
盲风妒雨	máng fēng dù yǔ
月落乌啼	yuè luò wū tí
熬心费力	áo xīn fèi lì
倚势凌人	yǐ shì líng rén
杳无踪迹	yǎo wú zōng jī
察见渊鱼	chá jiàn yuān yú
吟风咏月	yín fēng yǒng yuè
金科玉律	jīn kē yù lǜ
玉律金科	yù lǜ jīn kē
形枉影曲	xíng wǎng yǐng qū
分崩离析	fēn bēng lí xī
离析分崩	lí xī fēn bēng
开眉展眼	kāi méi zhǎn yǎn
眼开眉展	yǎn kāi méi zhǎn
逆天犯顺	nì tiān fàn shùn
杜门绝客	dù mén jué kè
知我罪我	zhī wǒ zuì wǒ
牛衣病卧	niú yī bìng wò
缓急轻重	huǎn jí qīng zhòng
轻重缓急	qīng zhòng huǎn jí
炼石补天	liàn shí bǔ tiān
别财异居	bié cái yì jū
别居异财	bié jū yì cái
犀牛望月	xī niú wàng yuè
锵金鸣玉	qiāng jīn míng yù
玉箫金管	yù xiāo jīn guǎn
上蒸下报	shàng zhēng xià bào
横从穿贯	héng cóng chuān guàn
九死未悔	jiǔ sǐ wèi huǐ
海誓山盟	hǎi shì shān méng
盟山誓海	méng shān shì hǎi
山盟海誓	shān méng hǎi shì
誓海盟山	shì hǎi méng shān
誓山盟海	shì shān méng hǎi
鱼游沸鼎	yú yóu fèi dǐng
多文强记	duō wén qiáng jì
道殣相望	dào jìn xiāng wàng
比翼连枝	bǐ yì lián zhī
连枝比翼	lián zhī bǐ yì
掩恶扬美	yǎn è yáng měi
哀感中年	āi gǎn zhōng nián
不敢问津	bù gǎn wèn jīn
风驰电赴	fēng chí diàn fù
恩甚怨生	ēn shèn yuàn shēng
莫展一筹	mò zhǎn yī chóu
一筹莫展	yī chóu mò zhǎn
杀衣缩食	shài yī suō shí
众星捧月	zhòng xīng pěng yuè
大题小做	dà tí xiǎo zuò
小题大做	xiǎo tí dà zuò
孔孟之道	kǒng mèng zhī dào
别作良图	bié zuò liáng tú
据义履方	jù yì lǚ fāng
赏罚分明	shǎng fá fēn míng
放马后炮	fàng mǎ hòu pào
山积波委	shān jī bō wěi
十年读书	shí nián dú shū
贫无置锥	pín wú zhì zhuī
欺天诳地	qī tiān kuāng dì
风驱电扫	fēng qū diàn sǎo
一手包办	yī shǒu bāo bàn
弃同即异	qì tóng jí yì
昼日昼夜	zhòu rì zhòu yè
久别重逢	jiǔ bié chóng féng
盘水加剑	pan shui jia jian
闲非闲是	xián fēi xián shì
闲是闲非	xián shì xián fēi
高材捷足	gāo cái jié zú
各得其宜	gè dé qí yí
寒灰更然	hán huī gèng rán
直接了当	zhí jiē liǎo dàng
看风使船	kàn fēng shǐ chuán
掎角之势	jǐ jiǎo zhī shì
繁文末节	fán wén mò jié
杞国忧天	qǐ guó yōu tiān
抱头鼠窜	bào tóu shǔ cuàn
交颈并头	jiāo jǐng bìng tóu
鼓角齐鸣	gǔ jiǎo qí míng
一献三售	yī xiàn sān shòu
事危累卵	shì wēi lèi luǎn
鹰视狼步	yīng shì láng bù
罗掘一空	luó jué yī kōng
雕心鹰爪	diāo xīn yīng zhǎo
雁过留声	yàn guò liú shēng
谠言直声	dǎng yán zhí shēng
家反宅乱	jiā fǎn zhái luàn
诸如此类	zhū rú cǐ lèi
三街六巷	sān jiē liù xiàng
切切私语	qiè qiè sī yǔ
竹报平安	zhú bào píng ān
魂摇魄乱	hún yáo pò luàn
劳民伤财	láo mín shāng cái
河决鱼烂	hé jué yú làn
鱼烂河决	yú làn hé jué
活天冤枉	huó tiān yuān wǎng
蹑足附耳	niè zú fù ěr
踣地呼天	bó dì hū tiān
遗臭万载	yí chòu wàn zǎi
北鄙之音	bēi bǐ zhī yīn
别出新裁	bié chū xīn cái
分道扬镳	fēn dào yáng biāo
沁人心腑	qìn rén xīn fǔ
孤形吊影	gū xíng diào yǐng
形孤影只	xíng gū yǐng zhī
影只形孤	yǐng zhī xíng gū
枕戈饮血	zhěn gē yǐn xuè
龙驰虎骤	lóng chí hǔ zhòu
花街柳市	huā jiē liǔ shì
柳市花街	liǔ shì huā jiē
直木先伐	zhí mù xiān fá
妙趣横生	miào qù héng shēng
逸趣横生	yì qù héng shēng
跌荡不羁	diē dàng bù jī
敌国外患	dí guó wài huàn
望风承旨	wàng fēng chéng zhǐ
富贵逼人	fù guì bī rén
百年谐老	bǎi nián xié lǎo
百废俱兴	bǎi fèi jù xīng
碌碌无能	lù lù wú néng
